X,Mediator,Index,CI_95,Significant,Indirect_retail,CI_retail,Indirect_financial,CI_financial
personalization,Financial_Risk,-0.067,"[-0.249, 0.115]",No,0.09,"[-0.076, 0.258]",0.023,"[-0.130, 0.175]"
personalization,Performance_Risk,0.07,"[-0.242, 0.371]",No,0.092,"[-0.185, 0.365]",0.162,"[-0.094, 0.429]"
personalization,Psychological_Risk,0.009,"[-0.136, 0.160]",No,-0.059,"[-0.192, 0.071]",-0.05,"[-0.180, 0.078]"
personalization,Privacy_Risk,-0.055,"[-0.186, 0.066]",No,0.023,"[-0.087, 0.132]",-0.033,"[-0.154, 0.083]"
personalization,Risk,-0.047,"[-0.302, 0.192]",No,0.047,"[-0.171, 0.269]",-0.001,"[-0.226, 0.223]"
warmth,Financial_Risk,-0.094,"[-0.274, 0.082]",No,0.138,"[-0.020, 0.304]",0.044,"[-0.107, 0.195]"
warmth,Performance_Risk,0.011,"[-0.289, 0.309]",No,0.114,"[-0.156, 0.364]",0.125,"[-0.132, 0.380]"
warmth,Psychological_Risk,-0.177,"[-0.342, -0.034]",Yes,0.084,"[-0.043, 0.221]",-0.093,"[-0.227, 0.033]"
warmth,Privacy_Risk,-0.104,"[-0.238, 0.016]",No,0.036,"[-0.067, 0.141]",-0.068,"[-0.188, 0.040]"
warmth,Risk,-0.217,"[-0.460, 0.024]",No,0.166,"[-0.043, 0.376]",-0.051,"[-0.264, 0.167]"
Warmth_x_Personalization,Financial_Risk,-0.135,"[-0.350, 0.072]",No,-0.172,"[-0.406, 0.041]",-0.307,"[-0.520, -0.116]"
Warmth_x_Personalization,Performance_Risk,0.1,"[-0.244, 0.424]",No,-0.489,"[-0.836, -0.127]",-0.39,"[-0.733, -0.040]"
Warmth_x_Personalization,Psychological_Risk,-0.084,"[-0.260, 0.082]",No,0.035,"[-0.139, 0.206]",-0.049,"[-0.222, 0.116]"
Warmth_x_Personalization,Privacy_Risk,-0.134,"[-0.295, 0.007]",No,0.025,"[-0.117, 0.177]",-0.109,"[-0.266, 0.030]"
Warmth_x_Personalization,Risk,-0.181,"[-0.465, 0.089]",No,-0.164,"[-0.454, 0.133]",-0.346,"[-0.630, -0.075]"
