term,Outcome,B,SE,t,p
Intercept,Financial_Risk,4.2203,0.2735,15.4283,0.0
personalization,Financial_Risk,-0.1538,0.17,-0.9043,0.3663
warmth,Financial_Risk,-0.2541,0.1689,-1.5045,0.133
Chatbot_Experience,Financial_Risk,-0.0069,0.06,-0.1155,0.9081
personalization:warmth,Financial_Risk,0.6329,0.2393,2.6443,0.0084
Intercept,Performance_Risk,4.9359,0.2443,20.2049,0.0
personalization,Performance_Risk,-0.1783,0.1519,-1.174,0.2409
warmth,Performance_Risk,-0.1683,0.1509,-1.1155,0.2651
Chatbot_Experience,Performance_Risk,0.0076,0.0536,0.1424,0.8868
personalization:warmth,Performance_Risk,0.6141,0.2137,2.873,0.0042
Intercept,Psychological_Risk,4.5465,0.273,16.6525,0.0
personalization,Psychological_Risk,0.1647,0.1697,0.9703,0.3324
warmth,Psychological_Risk,-0.0037,0.1686,-0.0221,0.9824
Chatbot_Experience,Psychological_Risk,-0.1138,0.0599,-1.9009,0.0578
personalization:warmth,Psychological_Risk,0.04,0.2389,0.1676,0.867
Intercept,Privacy_Risk,4.3037,0.2838,15.1669,0.0
personalization,Privacy_Risk,0.0135,0.1764,0.0768,0.9388
warmth,Privacy_Risk,0.0467,0.1752,0.2667,0.7898
Chatbot_Experience,Privacy_Risk,-0.1002,0.0622,-1.6092,0.1082
personalization:warmth,Privacy_Risk,0.1806,0.2483,0.7273,0.4674
Intercept,Risk,4.5016,0.2002,22.4882,0.0
personalization,Risk,-0.0385,0.1244,-0.3091,0.7574
warmth,Risk,-0.0949,0.1236,-0.7673,0.4432
Chatbot_Experience,Risk,-0.0533,0.0439,-1.2145,0.2251
personalization:warmth,Risk,0.3669,0.1751,2.0948,0.0367
